"","WordVec_1","WordVec_2","WordVec_3","WordVec_4","WordVec_5","WordVec_6","WordVec_7","WordVec_8","WordVec_9","WordVec_10","WordVec_11","WordVec_12","WordVec_13","WordVec_14","WordVec_15"
"""""	""		a",-0.219309909893785,-0.211982908311861,0.729824545258685,0.105261009523515,0.438415795441546,0.627263385253696,-0.140945368874986,0.936568480807376,0.607214422140544,-0.0141094163839508,0.0117783078249783,-0.0678771980717422,0.563961839918057,0.730020023281486,0.839197714475085
"""""	""		cintermj""",0.10661387979053,-0.604073325172067,-0.319413319928572,-0.224565848940983,0.189487090567127,-0.69004459050484,0.105148635804653,-0.539833448827267,0.339261044980958,0.0901907407678664,-0.00195995601825416,0.0768137620761991,-0.133548136334866,-0.363577588927001,-0.0639362616930157
"""""	""		coutconmaxa",0.00379438783800801,0.37951396857047,0.51659637693595,-0.221009042613206,-0.541554832627201,0.728767413797442,0.638575973382341,-0.130372392161591,-0.427730113652512,-0.20102087526449,-0.671287377887083,-0.309879404979965,-0.331918221092484,-0.159762638495363,0.375876793052652
"""""	""		coutnEnter",0.23400100993775,-0.0385785659427637,0.109778869547002,-0.866336745199779,0.449078210395049,-0.209721555934899,-0.82235811889849,-0.211750690111581,0.158219326067848,-0.447368200304103,0.0995334203076825,0.51820915142405,0.498664913148558,-0.552315392915074,0.00236815062964302
"""""	""		foriivarsi""",0.153233169578016,0.0283930408768356,-0.629121127771214,0.191685617202893,0.476398077793419,0.0650026253424585,0.0729540209285915,0.0737485808786005,-0.75335514661856,0.171007126569748,0.277625376591459,0.341267233947292,-0.374438795028254,-0.0340473663527519,0.142839864362031
"""""	""		forjjarrzj""",-0.48962424416095,-0.157153034582734,-0.511602627811953,0.219719654414803,0.320680112810805,-0.422676106682047,0.607188031077385,-0.706951070344076,-0.202987081836909,0.108684049686417,0.802385275484994,0.330775813898072,0.261533037759364,-0.23665905976668,-0.427880028495565
"""""	""		forjjgramiprodnoj""",-0.524357101181522,-0.51279265829362,0.222347724949941,0.449054150143638,0.276543332729489,-0.459265017881989,0.0759181960020214,0.500276118051261,-0.2943642642349,-0.046969315269962,0.119534835917875,-0.807615743950009,-0.076067914487794,-0.422815911471844,0.308184592286125
"""""	""		forjjstrlencloszirhsj""",-0.389064820716158,-0.363197539933026,0.0074729835614562,0.0432605624664575,0.338120866334066,-0.149257586104795,-0.257372818887234,-0.476813204120845,-0.579961410956457,-0.224063484696671,0.0973872961476445,0.375184363918379,0.27239262429066,0.0105424667708576,-0.734493140596896
"""""	""		forkkstrlenprodnk""",0.277319739107043,-0.847176890354604,0.155005293432623,0.11383646982722,-0.74327699560672,-0.112368257716298,-0.144382587401196,0.297386772930622,-0.190419916296378,0.515905735082924,-0.0506241926923394,-0.321017997106537,0.721713996957988,0.0332594125065953,-0.926126506412402
"""""	""		ifai",0.134460111834995,0.276838260718072,0.759284223384945,0.0875009657750772,-0.25952951648035,-0.0599652729221112,0.169049610815086,-0.0529956874702606,-0.127842779487099,0.859427103705391,-0.329348502168186,0.790700707623801,0.419517431677245,-0.199480406481163,0.0709473928216225
"""""	""		iff",-0.478262358639305,-0.399218234399419,-0.274168842337671,-0.111423654555072,0.244978030852195,-0.534680793390162,0.243300596381825,-0.585113314889312,-0.0958105707903727,0.39783891274737,0.451075778889816,0.651781096783329,0.285032431786257,0.203389794722397,0.230696839735892
"""""	""		ifisvariablelistofvari""",0.00554714445024729,-0.0485467566177249,0.454260725295171,-0.520188696682453,-0.756028359755874,0.2050791811198,0.111366205150262,-0.173950732918456,-0.410118554485962,-0.624632703606039,-0.188537308480591,0.846238882048056,-0.533054169034585,0.0853798417374492,-0.165213943924755
